id,name,initials,owner_id,plan,segment,industry,arr_mrr,start_date,renewal_date
northstar,Northstar Labs,NL,aisha,Scale,Enterprise,B2B analytics,8200,2025-08-12,2026-08-12
harborline,Harborline Ops,HO,mei,Growth,Growth,Logistics,4800,2025-09-03,2026-09-03
forgeworks,Forgeworks Studio,FS,daniel,Growth,Growth,Manufacturing,5100,2025-09-21,2026-09-21
lumen,LumenWorks,LW,mei,Growth,Growth,Creative services,4100,2025-09-19,2026-09-19
ember,Ember Commerce,EC,daniel,Growth,Growth,Commerce,5600,2025-07-28,2026-07-28
cobalt,Cobalt Systems,CS,aisha,Scale,Enterprise,Cybersecurity,9100,2025-10-11,2026-10-11
meridian,Meridian Cloud,MC,aisha,Scale,Enterprise,Cloud operations,7900,2025-09-04,2026-09-04
willow,Willow Health,WH,mei,Team,Team,Health services,3200,2025-10-17,2026-10-17
atlas,Atlas Robotics,AR,daniel,Scale,Enterprise,Robotics,9400,2025-11-02,2026-11-02
harbor-studio,Harbor Studio,HS,aisha,Team,Team,Education,3796,2026-04-12,2027-04-12
cedar-studio,Cedar Studio,CS,aisha,Growth,Growth,Finance,2735,2025-11-02,2026-11-02
copper-ops,Copper Ops,CO,daniel,Team,Team,Analytics,3028,2025-10-23,2026-10-23
summit-systems,Summit Systems,SS,aisha,Growth,Growth,Education,5002,2026-02-05,2027-02-05
iron-solutions,Iron Solutions,IS,aisha,Team,Growth,Analytics,7896,2025-11-13,2026-11-13
east-studio,East Studio,ES,mei,Growth,Growth,Education,4036,2026-01-22,2027-01-22
harbor-labs,Harbor Labs,HL,mei,Team,Team,Analytics,6638,2026-03-01,2027-03-01
stone-robotics,Stone Robotics,SR,aisha,Scale,Growth,Healthcare,2431,2026-05-08,2027-05-08
iron-cloud,Iron Cloud,IC,aisha,Team,Team,Logistics,5353,2025-09-19,2026-09-19
harbor-robotics,Harbor Robotics,HR,aisha,Scale,Team,Analytics,2843,2025-11-12,2026-11-12
south-partners,South Partners,SP,daniel,Scale,Enterprise,Manufacturing,5772,2025-11-04,2026-11-04
harbor-industries,Harbor Industries,HI,daniel,Scale,Growth,Finance,5851,2026-02-22,2027-02-22
east-ops,East Ops,EO,aisha,Scale,Enterprise,Retail,8991,2025-11-16,2026-11-16
pine-systems,Pine Systems,PS,aisha,Team,Growth,Logistics,2700,2025-12-27,2026-12-27
west-cloud,West Cloud,WC,aisha,Scale,Growth,Healthcare,7218,2025-09-04,2026-09-04
east-works,East Works,EW,aisha,Growth,Growth,Healthcare,8679,2026-05-02,2027-05-02
copper-labs,Copper Labs,CL,daniel,Growth,Enterprise,Analytics,6405,2025-09-01,2026-09-01
bright-group,Bright Group,BG,aisha,Team,Growth,Logistics,3253,2025-07-02,2026-07-02
summit-ops,Summit Ops,SO,aisha,Growth,Growth,Finance,7117,2025-08-27,2026-08-27
iron-systems,Iron Systems,IS,daniel,Scale,Growth,Education,5614,2026-02-22,2027-02-22
river-systems,River Systems,RS,aisha,Scale,Growth,Retail,2222,2026-05-11,2027-05-11
south-labs,South Labs,SL,mei,Team,Enterprise,Retail,4147,2026-06-05,2027-06-05
east-labs,East Labs,EL,daniel,Scale,Growth,Analytics,3332,2025-10-23,2026-10-23
cedar-works,Cedar Works,CW,daniel,Team,Enterprise,Analytics,7549,2026-04-29,2027-04-29
golden-industries,Golden Industries,GI,daniel,Team,Growth,Healthcare,2185,2025-08-12,2026-08-12
river-analytics,River Analytics,RA,mei,Team,Growth,Finance,5588,2025-12-31,2026-12-31
pine-works,Pine Works,PW,aisha,Growth,Enterprise,SaaS,4032,2025-06-30,2026-06-30
pine-robotics,Pine Robotics,PR,aisha,Team,Growth,Analytics,4438,2026-02-05,2027-02-05
cedar-systems,Cedar Systems,CS,mei,Scale,Enterprise,Finance,5871,2025-12-18,2026-12-18
oak-ops,Oak Ops,OO,daniel,Team,Growth,Analytics,9211,2026-03-17,2027-03-17
pine-studio,Pine Studio,PS,aisha,Growth,Growth,Retail,5228,2026-02-13,2027-02-13
summit-group,Summit Group,SG,aisha,Scale,Team,SaaS,6878,2026-02-12,2027-02-12
iron-labs,Iron Labs,IL,aisha,Growth,Growth,SaaS,6925,2026-01-15,2027-01-15
iron-partners,Iron Partners,IP,aisha,Growth,Team,Retail,2126,2026-05-23,2027-05-23
summit-partners,Summit Partners,SP,daniel,Growth,Growth,Manufacturing,8649,2026-04-12,2027-04-12
north-analytics,North Analytics,NA,daniel,Team,Growth,Finance,5673,2025-07-31,2026-07-31
summit-solutions,Summit Solutions,SS,daniel,Growth,Team,Finance,7467,2026-05-15,2027-05-15
river-works,River Works,RW,aisha,Scale,Growth,Manufacturing,3541,2025-10-29,2026-10-29
golden-analytics,Golden Analytics,GA,mei,Scale,Growth,SaaS,6844,2025-06-03,2026-06-03
west-solutions,West Solutions,WS,daniel,Growth,Enterprise,Healthcare,4643,2025-11-12,2026-11-12
silver-cloud,Silver Cloud,SC,daniel,Growth,Enterprise,Healthcare,6430,2025-11-03,2026-11-03
